Feature,Importance
P01BA02_drug,0.0011094015
N06AX05_drug,0.0011082678
90.15.4_num,0.0011006085
B01AC05_drug,0.001081693
88.79.7_exam,0.0010749765
90.51.4_exam,0.0010695873
L02BA01_drug,0.001068149
MW_2155_num,0.0010569062
N06AB04_drug,0.0010489366
C09DA06_drug,0.001045357
C09DA01_drug,0.001042068
90.94.2_exam,0.0010408243
90.40.4_num,0.0010385968
A10BF01_drug,0.0010348732
C03DA02_drug,0.0010195205
N05CD06_drug,0.001018517
C01BD01_drug,0.0010167895
M01AX17_drug,0.0010085327
88.94.1_exam,0.0009961916
PRESSIONE_SIST_num,0.0009951
90.04.5_num,0.0009911306
J01XX01_drug,0.000986228
S01CA01_drug,0.0009794659
90.42.3_num,0.0009723448
90.14.1_exam,0.0009600331
90.43.2_num,0.0009495096
90.14.2_num,0.0009402241
R03AC02_drug,0.00092717976
C09BA05_drug,0.0009271077
88.75.1_exam,0.0009207879
A03FA06_drug,0.000917465
B01AA03_drug,0.0009129656
R03AK07_drug,0.0009101643
C08CA12_drug,0.00090637535
C09BA02_drug,0.00090542407
MW_2131_num,0.0008982326
R03BA03_drug,0.00088006764
C09AA15_drug,0.0008642712
M02AA15_drug,0.00082925323
R06AX27_drug,0.0008179464
A07EC02_drug,0.0007904432
90.13.5_exam,0.0007894965
A10AE04_drug,0.0007804311
A11CC04_drug,0.00077635347
A02BC04_drug,0.0007736819
R06AX25_drug,0.0007694201
A03AA05_drug,0.0007657104
R06AE07_drug,0.00076424435
90.93.5_exam,0.000754497
L02BG04_drug,0.00074739725
N03AX12_drug,0.00073203736
90.93.4_exam,0.0007184764
91.18.5_exam,0.00071647373
90.35.5_exam,0.00071285345
C09BA06_drug,0.0007112651
B01AC24_drug,0.0007098689
N03AX11_drug,0.0007069735
B03AB_drug,0.0007036238
90.29.2_num,0.00067839626
M01AB16_drug,0.0006759985
C09BA04_drug,0.0006593501
90.40.4_exam,0.00065728615
C01BC03_drug,0.00065559597
C07AA05_drug,0.00065556716
B05BB01_drug,0.00064355024
90.14.3_exam,0.00063627306
90.47.3_exam,0.0006206048
J02AC02_drug,0.0006203688
45.13_exam,0.00059379847
M02AA10_drug,0.0005874278
B01AB_drug,0.0005839389
S01EC01_drug,0.0005662382
R05DB27_drug,0.0005661116
90.19.2_exam,0.0005481408
90.22.3_num,0.0005470532
4AA2F12_drug,0.00053473265
L02BG03_drug,0.0005306467
R06AE09_drug,0.0005306337
C09DA07_drug,0.0005201923
4AA2F27_drug,0.0005137465
88.79.2_exam,0.0005106377
90.42.5_exam,0.00047414578
N06AA04_drug,0.0004668471
4AA2F14_drug,0.0004616449
90.05.1_exam,0.00046007303
90.64.2_exam,0.00045849883
B03AA01_drug,0.0004567291
C09DB02_drug,0.0004552464
H03BB02_drug,0.00044161698
C09CA04_drug,0.0004363813
89.37.2_exam,0.00042567274
A12AA04_drug,0.00042195214
N06BX12_drug,0.00041513646
B03AA07_drug,0.00041018892
N05BA08_drug,0.0003967186
4AA2B99_drug,0.00038789134
J01DD13_drug,0.00036938058
M01AB15_drug,0.00036534414
A03FA_drug,0.000358793
4AA2F11_drug,0.00030652463
90.10.1_exam,0.00029535737
A07EA07_drug,0.000219366
L01BA01_drug,0.0001740736
MW_2818_num,0.00012334864
A10AB06_drug,0.0
A10AB05_drug,0.0
A03CA01_drug,0.0
7BB1_drug,0.0
A03FA03_drug,0.0
A03FA01_drug,0.0
A09AA02_drug,0.0
A10AB04_drug,0.0
A05AA02_drug,0.0
A06AD11_drug,0.0
S01ED05_drug,0.0
S01EC54_drug,0.0
R06AX28_drug,0.0
S01EA05_drug,0.0
89.13_exam,0.0
R05CB07_drug,0.0
R05CB01_drug,0.0
S01EE01_drug,0.0
N07CA01_drug,0.0
N07XX_drug,0.0
NaN_drug,0.0
R03BB05_drug,0.0
87.24_exam,0.0
S01EE05_drug,0.0
87.03_exam,0.0
87.22_exam,0.0
N05AH03_drug,0.0
N05AD01_drug,0.0
N05AA03_drug,0.0
N04BD01_drug,0.0
N05CD05_drug,0.0
N06AA09_drug,0.0
N05AL05_drug,0.0
N05AH04_drug,0.0
N06AX21_drug,0.0
N06BX06_drug,0.0
N06CA01_drug,0.0
N06DA03_drug,0.0
N06DX01_drug,0.0
90.24.5_exam,0.0
N06AX11_drug,0.0
N05AL07_drug,0.0
90.29.2_exam,0.0
90.27.4_exam,0.0
90.32.3_exam,0.0
90.34.6_exam,0.0
M05BA_drug,0.0
88.79.8_exam,0.0
89.43_exam,0.0
90.05.5_exam,0.0
90.10.5_exam,0.0
90.12.A_exam,0.0
N04BC05_drug,0.0
N04BC09_drug,0.0
R03DC03_drug,0.0
88.01.6_exam,0.0
88.21_exam,0.0
88.28_exam,0.0
N04BA02_drug,0.0
N04BA03_drug,0.0
N03AE01_drug,0.0
N04AA02_drug,0.0
N02AX06_drug,0.0
N02AX02_drug,0.0
N02AA59_drug,0.0
N02AB03_drug,0.0
M04AC01_drug,0.0
M03BX01_drug,0.0
M05BA07_drug,0.0
D05AX52_drug,0.0
C10AA04_drug,0.0
J07AX_drug,0.0
L01XX05_drug,0.0
J01EE01_drug,0.0
90.60.2_exam,0.0
90.52.4_exam,0.0
90.65.3_exam,0.0
90.65.1_exam,0.0
90.82.3_exam,0.0
C08DA01_drug,0.0
C08DB01_drug,0.0
90.74.5_exam,0.0
C09AA06_drug,0.0
C09AA07_drug,0.0
D07CC01_drug,0.0
G03CA04_drug,0.0
G04CA03_drug,0.0
H02AB02_drug,0.0
L02AE04_drug,0.0
L02AE02_drug,0.0
B03XA01_drug,0.0
C09BB12_drug,0.0
C09BB02_drug,0.0
C09BA15_drug,0.0
C09AA08_drug,0.0
C09BA03_drug,0.0
C01EB17_drug,0.0
C01AA05_drug,0.0
C08CA02_drug,0.0
C08CA05_drug,0.0
A10BD08_drug,0.0
C01DA14_drug,0.0
C03DA01_drug,0.0
C03DA03_drug,0.0
C07BB07_drug,0.0
C03CA04_drug,0.0
A11CC03_drug,0.0
A10BX02_drug,0.0
A10BH01_drug,0.0
A10BG03_drug,0.0
A10BD07_drug,0.0
B01AX05_drug,0.0
B01AF02_drug,0.0
B01AE07_drug,0.0
91.09.4_exam,0.0
9056501_exam,0.0
B03BA03_drug,0.0
91.19.5_exam,0.0
4AA2F31_drug,0.0
90.10.5_num,0.0
MW_2832_exam,0.0
4AA2F10_drug,0.0
