Feature,Importance
90.23.5_exam,0.0
90.25.5_exam,0.0
90.27.1_exam,0.0
90.27.4_exam,0.0
90.28.1_exam,0.0
A10AE04_drug,0.0
4AA2F11_drug,0.0
4AA2F10_drug,0.0
4AA2F09_drug,0.0
4AA2B99_drug,0.0
90.29.2_num,0.0
A03AA05_drug,0.0
4AA2F33_drug,0.0
A03FA_drug,0.0
A03FA01_drug,0.0
A06AD11_drug,0.0
A06AD65_drug,0.0
A07EA07_drug,0.0
A07EC02_drug,0.0
A10AB05_drug,0.0
A10AB06_drug,0.0
9042101_exam,0.0
9056501_exam,0.0
91.09.4_exam,0.0
91.18.5_exam,0.0
A02BC04_drug,0.0
A02BX13_drug,0.0
7BB1_drug,0.0
A03CA01_drug,0.0
B01AX05_drug,0.0
B02AA02_drug,0.0
B03AA01_drug,0.0
B03AA07_drug,0.0
B03AB_drug,0.0
90.93.4_exam,0.0
90.93.5_exam,0.0
90.94.2_exam,0.0
MW_2832_exam,0.0
NaN_exam,0.0
90.09.2_num,0.0
90.10.5_num,0.0
90.11.4_num,0.0
90.15.4_num,0.0
90.22.3_num,0.0
4AA2F14_drug,0.0
91.19.5_exam,0.0
91.22.4_exam,0.0
93.08.1_exam,0.0
95.02_exam,0.0
MW39_exam,0.0
MW_1935_exam,0.0
MW_1946_exam,0.0
MW_2609_exam,0.0
MW_2815_num,0.0
MW_2816_num,0.0
MW_2817_num,0.0
MW_2818_num,0.0
A10BB09_drug,0.0
A10BD02_drug,0.0
A10BD08_drug,0.0
A10BF01_drug,0.0
4AA2F35_drug,0.0
90.56.3_num,0.0
90.56.6_num,0.0
90.72.3_num,0.0
MW_2146_num,0.0
MW_2152_num,0.0
MW_2155_num,0.0
MW_2814_num,0.0
