Feature,Importance
89.7_exam,7.0184214e-08
C01BC04_drug,6.959571e-08
90.13.5_exam,6.9181425e-08
90.72.3_exam,6.9141784e-08
90.93.4_exam,6.819114e-08
N04BD01_drug,6.7437725e-08
90.23.5_exam,6.704259e-08
90.82.5_exam,6.619763e-08
N06AX11_drug,6.5112026e-08
90.28.4_exam,6.414223e-08
C10AB04_drug,6.3987315e-08
90.25.5_exam,6.394539e-08
H02AB01_drug,6.392004e-08
C09BB02_drug,6.352424e-08
M01AB15_drug,6.338192e-08
C03DA02_drug,6.2869375e-08
R05DA09_drug,6.1621115e-08
C07CB03_drug,6.128805e-08
A02AD02_drug,6.087275e-08
B02AA02_drug,6.0447036e-08
M01AX17_drug,5.919471e-08
90.13.3_exam,5.902807e-08
C10AA04_drug,5.890524e-08
N06CA01_drug,5.888825e-08
A11CC03_drug,5.837319e-08
A07EA07_drug,5.8189165e-08
C07AB03_drug,5.7940202e-08
N06AA04_drug,5.7564872e-08
A10BF01_drug,5.7553404e-08
J01CA04_drug,5.736503e-08
90.12.A_exam,5.721624e-08
S01EE03_drug,5.708648e-08
J02AC01_drug,5.6779484e-08
N05BA08_drug,5.6726023e-08
88.73.5_exam,5.64836e-08
88.71.4_exam,5.633787e-08
S01CA01_drug,5.5266437e-08
N03AF01_drug,5.5147954e-08
N03AE01_drug,5.466613e-08
J01EE01_drug,5.3606758e-08
88.73.1_exam,5.340143e-08
R03AC02_drug,5.2135412e-08
R05CB01_drug,5.1481138e-08
S01EA05_drug,5.0277972e-08
N06AX21_drug,5.01481e-08
90.36.6_exam,4.977646e-08
90.55.1_exam,4.942086e-08
S01EC54_drug,4.9378023e-08
90.84.5_exam,4.9330858e-08
C09BA15_drug,4.914337e-08
A10BG03_drug,4.9047586e-08
C03EB01_drug,4.9016677e-08
88.99.2_exam,4.8671964e-08
C08DA01_drug,4.8532492e-08
C09BB12_drug,4.8473552e-08
N04BA03_drug,4.7965795e-08
90.11.4_exam,4.6095323e-08
J01XX01_drug,4.598824e-08
B01AC24_drug,4.5897536e-08
90.23.2_exam,4.5611184e-08
4AA2F11_drug,4.5547118e-08
90.60.2_exam,4.5478032e-08
N03AX12_drug,4.540191e-08
